filtered,baseline
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.2590934527140458
1.0,1.1914002563315702
1.0,1.2184775348845605
1.0,1.211437442460783
1.0,1.2455548134375507
1.0,1.2590934527140458
1.0,1.272632091990541
1.0,1.2655919995667635
1.0,1.272632091990541
1.0,1.2997093705435312
1.0,1.3267866490965214
1.0,1.286170731267036
1.0,1.286170731267036
1.0,1.2997093705435312
1.0,1.2926692781197537
1.0,1.286170731267036
1.0,1.2455548134375507
1.0,1.2455548134375507
1.0,1.2049388956080653
1.0,1.2320161741610556
1.0,1.2320161741610556
1.0,1.1914002563315702
1.0,1.1708215246312978
1.0,1.1914002563315702
1.0,1.1708215246312978
1.0,1.1914002563315702
1.0,1.1978988031842879
1.0,1.2455548134375507
1.0,1.2184775348845605
1.0,1.2320161741610556
1.0,1.2320161741610556
1.0,1.2455548134375507
1.0,1.2590934527140458
1.0,1.2320161741610556
1.0,1.2590934527140458
1.0,1.2184775348845605
1.0,1.2049388956080653
1.0,1.1914002563315702
1.0,1.16432297777858
1.0,1.1372456992255897
1.0,1.0830911421196094
1.0,1.0695525028431143
1.0,1.0966297813961043
1.0,1.1372456992255897
1.0,1.1302056068018125
1.0,1.1237070599490946
1.0,1.1437442460783076
